字段序号,字段名,位置,处理规则,示例源值,输出值
1-18,同 HF 航段,-,-,-,-
19,航段距离类型,21,1. 'T'开头→1<br>2. 否则→0,T123,1
特殊规则,同 HF 航段,适用场景,人工终止等待,输出示例,"HM,REDGO,50.1092,8.8564,0,TAU,69.0,0.0,249.0,4.3,2,4000,0,1,160,0,0,0,1"
