字段序号,字段名,位置,处理规则,示例源值,输出值
1,记录标识符,-,"固定为""VI""",-,VI
2,转向方向,9,"空格=0, 'L'=1, 'R'=2", ,0
3,导航台标识符,13,无数据→空格, , 
4,截获航向,18,源数据÷10.0,      ,0.0
5,航向,20,源数据÷10.0,3470,347.0
6,高度约束,23,映射表, ,0
7,第一高度,24,格式处理,     ,0
8,第二高度,25,格式处理,     ,0
9,速度约束,-,逻辑判断,-,0
10,第一速度,28,速度提取,   ,0
11,第二速度,-,固定0,-,0
12,特殊航点,8[3],字符映射, ,0
13,飞越航点,8[1],字符判断, ,0
适用场景,无导航参考航段过渡,输出示例,"VI,0, ,0.0,347.0,0,0,0,0,0,0,0,0",,
